t_s,pn_m,pe_m,pd_m,u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,roll_rad,pitch_rad,yaw_rad,alt_m,airspeed_mps,alpha_rad,beta_rad,aileron_rad,elevator_rad,rudder_rad,throttle_01,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm
0.780000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.790000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.800000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.810000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.820000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.830000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.840000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.850000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.860000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.870000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.880000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.890000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.900000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.910000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.920000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.930000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.940000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.950000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.960000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.970000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.980000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
0.990000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.010000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.020000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.030000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.040000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.050000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.060000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.070000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.080000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.090000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.110000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.120000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.130000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.140000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
1.150000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan
